,scores,isrc,artist,title,seed_playlist_uri
100,0.872560144216411,USWD10321898,The Dwarf Chorus,Heigh-Ho,malaysia_top_test
101,0.8725543649073598,USWD10220406,Julie Andrews,"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",malaysia_top_test
102,0.8711818338489122,USWD10527945,B5,Get'cha Head In The Game,malaysia_top_test
103,0.8705522972309487,USL2S0620350,Rascal Flatts,Life Is A Highway,malaysia_top_test
104,0.8702980804572965,USWD10423207,Jonathan Freeman,"Prince Ali (Reprise) - From ""Aladdin""/Soundtrack Version",malaysia_top_test
105,0.8698028928685912,USWD10423205,Robin Williams,Prince Ali,malaysia_top_test
106,0.8680095139705707,USWD10423203,Robin Williams,Friend Like Me - 『アラジン』より,malaysia_top_test
107,0.8673178823937586,USWD10423481,Cheryl Freeman,A Star Is Born,malaysia_top_test
108,0.8645432499761351,USWD10321346,Jeremy Irons,"Be Prepared - From ""The Lion King"" / Soundtrack Version",malaysia_top_test
109,0.8640983277555928,USWD11778855,Dan Stevens,Evermore,malaysia_top_test
110,0.8640034195216316,USWD11778936,Josh Groban,Evermore,malaysia_top_test
111,0.8624222487033905,USWD10732972,Amy Adams,"True Love's Kiss - From ""Enchanted""/ Soundtrack Version",malaysia_top_test
112,0.8573919298930345,USWD10423141,Rosie O'Donnell,Trashin' The Camp,malaysia_top_test
113,0.8572715053800638,NZSO01600013,Vai Mahina,An Innocent Warrior,malaysia_top_test
114,0.8551582089337592,USWD10936988,Keith David,Friends on the Other Side - 『プリンセスと魔法のキス』より,malaysia_top_test
115,0.8546447921978991,USWD10527946,Various Artists,Start Of Something New,malaysia_top_test
116,0.8520190258413259,USWD10423480,Danny DeVito,One Last Hope,malaysia_top_test
117,0.8514758708835459,USWD10527947,High School Musical Cast,Breaking Free - Karaoke Instrumental,malaysia_top_test
118,0.8509547182370241,USWD11778851,Adam Mitchell,Days In The Sun,malaysia_top_test
119,0.8504456323019682,USWD10110094,Bill Shirley,Once Upon A Dream - From ''Walt Disney's Sleeping Beauty'',malaysia_top_test
120,0.8487616592665882,USWD11054900,Mandy Moore,When Will My Life Begin (Reprise 2),malaysia_top_test
121,0.8486956550420122,USWD10423140,Phil Collins,Two Worlds,malaysia_top_test
122,0.8477625451611743,USWD11677853,Olivia Foa'i,Tulou Tagaloa,malaysia_top_test
123,0.8476902604040569,USWD10220404,Scatman Crothers,Ev'rybody Wants To Be A Cat,malaysia_top_test
124,0.8476057192312794,USWD11054837,Mandy Moore,"When Will My Life Begin - Reprise 1/From ""Tangled""/Soundtrack Version",malaysia_top_test
125,0.8471668080957557,USWD10110147,Christina Aguilera,Reflection - Pop Version,malaysia_top_test
126,0.8470596215633267,USWD10527109,Jodi Benson,Part Of Your World - From ''Disney's The Little Mermaid'',malaysia_top_test
127,0.8461780237091883,USWD11570628,Kuana Torres Kahele,Lava,malaysia_top_test
128,0.8442131136616121,USWD10210162,Danny Elfman,What's This? - 『ナイトメアー・ビフォア・クリスマス』より,malaysia_top_test
129,0.8439945913305413,USWD10321765,Dick Van Dyke,Chim Chim Cher-ee,malaysia_top_test
130,0.8411226920358827,USWD10220295,Bill Lee,"Cruella De Vil - From ""101 Dalmatians""/ Soundtrack Version",malaysia_top_test
131,0.8405287333119486,USWD11038146,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",malaysia_top_test
132,0.8400678425312846,USWD11569822,Lily James,A Dream Is a Wish Your Heart Makes,malaysia_top_test
133,0.8394415043948001,USWD10423913,Judy Kuhn,"Like Other Girls - From ""Mulan II""/Soundtrack Version",malaysia_top_test
