,isrc,track_artist,track_title,country_name,region,saves,saves_perc,skips,skips_perc,streams,users,recommendation_scores,current_playlist_position,major_label,label_studio,content_provider_name
4315,USWD11677917,Marcy Harriell,More - Outtake,,Norway,19224.0,0.01252022226911444,755208.0,0.4918524770814283,1535436,275400,0.7241516493,,UMG,Walt Disney Records,Universal
4317,USWD10732095,Troy And Gabriella,You Are The Music In Me,,Norway,0.0,0.0,1055608.0,0.6881784921729742,1533916,63352,0.7230891823,,UMG,EMI Catalogue,umgglobal
4319,USWD10730751,Rob Thomas,Little Wonders,,Norway,44480.0,0.029007812805697218,843020.0,0.549778919772007,1533380,137720,0.7223129919,,UMG,Walt Disney Records,umgglobal
4320,USWD11778856,Luke Evans,The Mob Song,,Norway,74844.0,0.04887998072073872,874908.0,0.5713949838653744,1531179,54129,0.7221647126,,UMG,Walt Disney Records,UMI
4321,USWD10732976,Carrie Underwood,"Ever Ever After - From ""Enchanted"" / Soundtrack Version",,Norway,99915.0,0.06526463481786454,686718.0,0.44856527541264374,1530921,36177,0.7214028338,,UMG,Walt Disney Records,umgglobal
4322,USWD10321079,Jodi Benson,"Part Of Your World (Reprise) (from ""The Little Mermaid"") - From ""The Little Mermaid""/ Soundtrack Version",,Norway,86982.0,0.056818745966340664,681815.0,0.4453780469642059,1530868,186428,0.721082613,,UMG,Parlophone Catalogue,umgglobal
4323,USWD10936990,Leon-Wooley,When We're Human (feat. Terence Blanchard),,Norway,64906.0,0.04242014280345735,610351.0,0.398902668169861,1530075,177330,0.7199655442,,UMG,Parlophone Catalogue,umgglobal
4324,USWD10321248,Lebo M.,"The Lion Sleeps Tonight - From ""The Lion King""/Original Broadway Cast Recording",,Norway,80388.0,0.05254584721256268,2060436.0,1.3468099125150994,1529864,262080,0.7181908098,,UMG,Walt Disney Records,Universal
4325,USWD10732972,Amy Adams,"True Love's Kiss - From ""Enchanted""/ Soundtrack Version",,Norway,179526.0,0.11739526197258253,1982430.0,1.2963464300007062,1529244,66582,0.7165481116,,UMG,EMI Catalogue,umgglobal
4327,USWD10936985,Dr. John,"Down in New Orleans - From ""The Princess and the Frog""/Soundtrack Version",,Norway,166180.0,0.10888281436325373,849764.0,0.556773955136454,1526228,45704,0.7139922649,,UMG,Walt Disney Records,umgglobal
4330,USWD10220402,Pat Carroll,"Poor Unfortunate Souls - From ""The Little Mermaid"" / Soundtrack Version",,Norway,42159.0,0.02766403930801515,961597.0,0.6309840652403863,1523964,91767,0.7119440628,,UMG,Walt Disney Records,umgglobal
4335,USWD10423141,Rosie O'Donnell,Trashin' The Camp,,Norway,98798.0,0.06496304001620164,1345631.0,0.8847980778967329,1520834,47999,0.706930934,36.0,UMG,Walt Disney Records,umgglobal
4336,USWD10423481,Cheryl Freeman,A Star Is Born,,Norway,138086.0,0.09080184646948196,1342380.0,0.8827149940160711,1520740,189826,0.7052549976,,UMG,EMI Gold,umgglobal
4337,USWD11366382,Christophe Beck,Vuelie,,Norway,40746.0,0.026799103407996717,621675.0,0.40888265378604916,1520424,17517,0.7031191442,,UMG,Walt Disney Records,UMI
4338,USWD10834896,High School Musical Cast,We're All In This Together (Graduation Mix) - Original Version,,Norway,113883.0,0.07491780178487553,989213.0,0.6507526448813438,1520106,95370,0.7020867576,,UMG,Walt Disney Records,umgglobal
4339,USWD10321112,Ilene Woods,A Dream Is A Wish Your Heart Makes - Soundtrack,,Norway,93256.0,0.06136005937560863,1053520.0,0.693189175531775,1519816,102464,0.7016578585,,UMG,Universal Music Asia Pacific,UMI
4340,USWD10423776,Chorus - The Lion King 2: Simba's Pride,One of Us,,Norway,31050.0,0.020436586030458084,1181740.0,0.7778013261073602,1519334,159252,0.6983134874,,UMG,Walt Disney Records,Universal
4343,USWD10220404,Scatman Crothers,Ev'rybody Wants To Be A Cat,,Norway,46060.0,0.03035853522374425,726985.0,0.47916195678753176,1517201,46326,0.6971107684,,UMG,EMI TV,umgglobal
4346,USWD11048341,Hannah Montana,I'll Always Remember You,,Norway,35025.0,0.02312485639810802,435393.0,0.2874632577228107,1514604,28401,0.6965665044,,UMG,EMI Catalogue,umgglobal
4347,USWD10834890,High School Musical Cast,"Right Here, Right Now",,Norway,99477.0,0.06568284687075976,1208076.0,0.7976705260134499,1514505,28458,0.6954102414,,UMG,Universal Music Asia Pacific,UMI
4348,USWD10220229,Paige O'Hara,Something There,,Norway,51102.0,0.033774700500850616,782112.0,0.516919074754829,1513026,42744,0.695307057,,UMG,Parlophone Catalogue,umgglobal
4350,USWD10732099,Troy,Bet On It,,Norway,65828.0,0.04357900200192778,911568.0,0.603470008156002,1510544,181832,0.694501199,,UMG,EMI Catalogue,umgglobal
4351,USWD11778845,Audra McDonald,Aria,,Norway,37213.0,0.024640013984282248,1110945.0,0.7355950967610363,1510267,104038,0.6941840061,,UMG,Walt Disney Records,umgglobal
4353,USWD11038143,Demi Lovato,Wouldn't Change a Thing,,Norway,91350.0,0.0605063056379822,786226.0,0.5207622403560831,1509760,92862,0.6930151876,,UMG,Walt Disney Records,umgglobal
4354,USWD10628673,Hannah Montana,The Best of Both Worlds,,Norway,18927.0,0.012548032172605552,467586.0,0.30999546528556765,1508364,76995,0.6926579008,,UMG,EMI TV,umgglobal
4355,USWD10220003,Cliff Edwards,When You Wish Upon a Star,,Norway,0.0,0.0,1407807.0,0.9337738856354877,1507653,40518,0.6907478628,,UMG,Walt Disney Records,Universal
