,scores,isrc,artist,title,seed_playlist_uri
119,0.806912273860825,USWD10423197,Bruce Adler,Arabian Nights,Spain
120,0.8065150633337002,USWD11778853,Emma Watson,How Does A Moment Last Forever (Montmartre),Spain
121,0.8045502676907553,USWD11783810,Marco Antonio Solís,El Mundo es mi Familia,Spain
122,0.8040275541105268,CAC229700120,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",Spain
123,0.802563575231983,USWD10732973,Amy Adams,Happy Working Song - From ''Disney's Enchanted'',Spain
124,0.8015781925403923,USWD11571325,Dove Cameron,If Only,Spain
125,0.8010753896167262,USWD10527741,High School Musical Cast,Bop To The Top,Spain
126,0.8004332087557543,USUM71510152,Ariana Grande,"Zero To Hero - From ""Hercules""",Spain
127,0.7985873236912158,USWD10834897,High School Musical Cast,High School Musical,Spain
128,0.7985626295043663,USWD10834899,High School Musical Cast,Walk Away - 『ハイスクール・ミュージカル: ザ・ムービー』より,Spain
129,0.7965201759270992,USWD11569822,Lily James,A Dream Is a Wish Your Heart Makes,Spain
130,0.7955183739605428,USWD11037948,Hannah Montana,Ordinary Girl,Spain
131,0.795507543816236,USHR10924540,Miley Cyrus,When I Look At You,Spain
132,0.7945585465367423,USWD10732101,High School Musical Cast,"All For One - From ""High School Musical 2""/Soundtrack Version",Spain
133,0.7933855158717881,USWD11778851,Adam Mitchell,Days In The Sun,Spain
134,0.7932022365507849,USWD10628831,Sheryl Crow,Real Gone,Spain
135,0.793091388961384,USWD10110154,Peabo Bryson,"Whole New World (Aladdin's Theme) - From ""Aladdin""/Soundtrack Version",Spain
136,0.7925148937071174,USWD10732094,High School Musical Cast,Work This Out,Spain
137,0.792377301117299,USWD10935873,Miley Cyrus,Hoedown Throwdown,Spain
138,0.7921035818117527,USEE11100768,Jason Mraz,I Won't Give Up,Spain
139,0.7917002493092222,USWD10937504,Christopher Wilde,Hero,Spain
140,0.7916757541083451,USAM10200173,Bryan Adams,Here I Am,Spain
141,0.7893816119371785,USWD11783806,Marco Antonio Solís,Recuérdame (Interpretada por Ernesto De la Cruz),Spain
142,0.7889496022702257,USQ4E1602393,Taron Egerton,"The Way I Feel Inside - From ""Sing"" Original Motion Picture Soundtrack",Spain
143,0.7870266644929098,USWD10834840,High School Musical Cast,A Night To Remember,Spain
144,0.7825412144060091,USWD10732097,CHAD,"I Don't Dance - From ""High School Musical 2""/Soundtrack Version",Spain
145,0.7825159477033855,USWD10527109,Jodi Benson,Part Of Your World - From ''Disney's The Little Mermaid'',Spain
146,0.782184646748329,USWD11783808,Gael Garcia Bernal,Juanita,Spain
