,user_dma_number,user_dma_name,user_postal_code,user_count,user_%
6219,527,Indianapolis,708,1,1.736161447736419e-05
27475,FR-J,,315,1,1.736161447736419e-05
27476,FR-J,,328,1,1.736161447736419e-05
27477,FR-J,,481,1,1.736161447736419e-05
8066,536,Youngstown,146,1,1.736161447736419e-05
8071,536,Youngstown,159,1,1.736161447736419e-05
6217,527,Indianapolis,684,1,1.736161447736419e-05
6215,527,Indianapolis,672,1,1.736161447736419e-05
27480,FR-J,,774,1,1.736161447736419e-05
8075,536,Youngstown,165,1,1.736161447736419e-05
8076,536,Youngstown,185,1,1.736161447736419e-05
8078,536,Youngstown,187,1,1.736161447736419e-05
8079,536,Youngstown,190,1,1.736161447736419e-05
27484,FR-J,,941,1,1.736161447736419e-05
8081,536,Youngstown,253,1,1.736161447736419e-05
6212,527,Indianapolis,666,1,1.736161447736419e-05
8083,536,Youngstown,295,1,1.736161447736419e-05
6232,527,Indianapolis,785,1,1.736161447736419e-05
27469,FR-J,,123,1,1.736161447736419e-05
25845,821,"Bend, OR",100,1,1.736161447736419e-05
25857,821,"Bend, OR",921,1,1.736161447736419e-05
25866,821,"Bend, OR",971,1,1.736161447736419e-05
25865,821,"Bend, OR",970,1,1.736161447736419e-05
27455,FR-A,,972,1,1.736161447736419e-05
25863,821,"Bend, OR",956,1,1.736161447736419e-05
25862,821,"Bend, OR",954,1,1.736161447736419e-05
8050,535,"Columbus,OH",946,1,1.736161447736419e-05
8051,535,"Columbus,OH",951,1,1.736161447736419e-05
25859,821,"Bend, OR",940,1,1.736161447736419e-05
25858,821,"Bend, OR",928,1,1.736161447736419e-05
6247,527,Indianapolis,905,1,1.736161447736419e-05
6243,527,Indianapolis,890,1,1.736161447736419e-05
6239,527,Indianapolis,840,1,1.736161447736419e-05
8053,535,"Columbus,OH",969,1,1.736161447736419e-05
8055,535,"Columbus,OH",980,1,1.736161447736419e-05
27461,FR-H,,,1,1.736161447736419e-05
598,501,New York,547,1,1.736161447736419e-05
25853,821,"Bend, OR",838,1,1.736161447736419e-05
25851,821,"Bend, OR",660,1,1.736161447736419e-05
27465,FR-J,,026,1,1.736161447736419e-05
25850,821,"Bend, OR",630,1,1.736161447736419e-05
25849,821,"Bend, OR",432,1,1.736161447736419e-05
8058,535,"Columbus,OH",986,1,1.736161447736419e-05
25919,825,San Diego,148,1,1.736161447736419e-05
27423,ES-CT,,941,1,1.736161447736419e-05
27606,GB-KEC,,900,1,1.736161447736419e-05
7905,535,"Columbus,OH",293,1,1.736161447736419e-05
27384,DK-82,,,1,1.736161447736419e-05
25996,825,San Diego,481,1,1.736161447736419e-05
7912,535,"Columbus,OH",312,1,1.736161447736419e-05
27385,DK-82,,112,1,1.736161447736419e-05
25993,825,San Diego,474,1,1.736161447736419e-05
27386,DK-82,,802,1,1.736161447736419e-05
25992,825,San Diego,469,1,1.736161447736419e-05
25991,825,San Diego,465,1,1.736161447736419e-05
25988,825,San Diego,442,1,1.736161447736419e-05
6302,528,Miami-Ft. Lauderdale,067,1,1.736161447736419e-05
25986,825,San Diego,440,1,1.736161447736419e-05
25985,825,San Diego,435,1,1.736161447736419e-05
25984,825,San Diego,430,1,1.736161447736419e-05
27389,DK-84,,103,1,1.736161447736419e-05
25983,825,San Diego,421,1,1.736161447736419e-05
25982,825,San Diego,405,1,1.736161447736419e-05
7915,535,"Columbus,OH",327,1,1.736161447736419e-05
25980,825,San Diego,397,1,1.736161447736419e-05
25978,825,San Diego,371,1,1.736161447736419e-05
27391,DK-84,,325,1,1.736161447736419e-05
25977,825,San Diego,370,1,1.736161447736419e-05
27393,DK-84,,606,1,1.736161447736419e-05
25976,825,San Diego,368,1,1.736161447736419e-05
25998,825,San Diego,483,1,1.736161447736419e-05
7903,535,"Columbus,OH",285,1,1.736161447736419e-05
7992,535,"Columbus,OH",503,1,1.736161447736419e-05
27380,DE-SN,,100,1,1.736161447736419e-05
7889,535,"Columbus,OH",228,1,1.736161447736419e-05
27362,DE-NW,,401,1,1.736161447736419e-05
